idx,image,start_s,dur_s,transition,blur,intro,outro,kb_s0,kb_s1,kb_x0,kb_x1,kb_y0,kb_y1
127,9fb3ede2bf770898b8cac6be2d53063a.jpg,1464.700,9.100,black-fade,3,,,0.734493,0.822545,-0.081469,0.081469,0.081469,-0.081469
128,Sieu cong nghe.jpg,1473.800,15.000,dissolve-ii,3,,,0.872895,0.740262,0.000000,0.000000,0.000000,0.000000
129,hinh-anh-miss-fortune-1.jpg,1488.800,10.300,dissolve-ii,3,,,0.732868,0.819456,0.000000,0.000000,0.000000,0.000000
130,0106_hinh-nen-4k-may-tinh2-scaled.jpg,1499.100,10.900,blur,3,,,0.732841,0.732841,-0.160591,0.160591,0.000000,0.000000
131,hinh-nen-ashe-dep-3.jpg,1510.000,11.100,page-turning,3,,,0.782996,0.858207,-0.065238,0.065238,-0.068299,0.068299
132,35507a10dcc417cd6d677bcaa1728339.jpg,1521.100,16.700,black-fade,3,,,0.891953,0.807361,0.081361,-0.081361,-0.081361,0.081361
133,hinh-nen-ashe-dep-23.jpg,1537.800,9.300,gradient-wipe,3,,,0.800941,0.872963,0.062990,-0.062990,0.062990,-0.062990
134,hinh-nen-pubg-dep-11.jpg,1547.100,12.400,split,3,,,0.821609,0.821609,0.000000,0.000000,-0.085632,0.085632
135,hinh-nen-truy-kich-CrossFire-12.jpg,1559.500,12.900,glitch,3,,,0.781443,0.850647,-0.123747,0.123747,0.123747,-0.123747
136,hinh-nen-hacker-mu-den_013826845.jpg,1572.400,11.600,dissolve,3,,,0.887660,0.785928,0.000000,0.000000,0.000000,0.000000
137,hinh-nen-ashe-dep-2.png,1584.000,10.300,split,3,,,0.802557,0.903384,0.000000,0.000000,0.000000,0.000000
138,hinh-anh-lien-quan-54.jpg,1594.300,13.200,glitch,3,,,0.906882,0.906882,-0.046246,0.046246,0.000000,0.000000
139,hinh-anh-miss-fortune-4.jpg,1607.500,13.700,flip-ii,3,,,0.761151,0.896481,-0.087803,0.087803,-0.087803,0.087803
140,hinh-nen-truy-kich-CrossFire-16.jpg,1621.200,13.300,dissolve,3,,,0.864526,0.775570,0.111671,-0.111671,-0.111671,0.111671
141,hinh-anh-miss-fortune-21.jpg,1634.500,11.900,split,3,,,0.762738,0.834320,0.093253,-0.093253,0.093253,-0.093253
142,nhung-hinh-nen-thien-nhien-doc-dao-va-moi-la-dep-nhat_014904472.jpg,1646.400,11.800,black-fade,3,,,0.735198,0.735198,0.000000,0.000000,-0.186396,0.186396
143,hinh-nen-ahri-dep-37.jpg,1658.200,12.800,gradient-wipe,3,,,0.721514,0.852998,-0.093873,0.093873,0.093873,-0.093873
144,hinh-anh-miss-fortune-19.jpg,1671.000,11.200,split,3,,,0.807144,0.733211,0.000000,0.000000,0.000000,0.000000
145,32.jpg,1682.200,9.700,flip-ii,3,,,0.817815,0.880296,0.000000,0.000000,0.000000,0.000000
146,25.jpeg,1691.900,7.800,shutter,3,,,0.753932,0.753932,-0.173993,0.173993,0.000000,0.000000
147,hinh-nen-hacker-dep_013826751.jpg,1699.700,12.800,gradient-wipe,3,,,0.816943,0.889488,-0.061425,0.061425,-0.061425,0.061425
148,phong-canh-thien-nhien-ben-ho-tuyet-dep_085326697.jpg,1712.500,15.800,dissolve,3,,,0.830174,0.729456,0.096076,-0.096076,-0.096076,0.096076
